document,link
PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100
PLP 175/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/162245
PLP 18/2022,https://www25.senado.leg.br/web/atividade/materias/-/materia/153341
PLP 150/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/151586
PLP 11/2020,https://www25.senado.leg.br/web/atividade/materias/-/materia/151606
PLN 5/2024,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/163206
PLN 4/2024,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/163205
PLN 2/2024,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/163056
PLN 1/2024,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/162596
PLN 41/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160491
PLN 40/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160490
PLN 39/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160489
PLN 38/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160488
PLN 37/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160487
PLN 36/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160486
PLN 35/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160485
PLN 34/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160484
PLN 33/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160483
PLN 32/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160482
PLN 31/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160481
PLN 30/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/160480
PLN 29/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/159659
PLN 28/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/159634
PLN 27/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/159589
PLN 26/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/159472
PLN 25/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158913
PLN 24/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158912
PLN 23/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158909
PLN 22/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158908
PLN 21/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158906
PLN 20/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158905
PLN 19/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158903
PLN 18/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158900
PLN 17/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158738
PLN 16/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158737
PLN 15/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158736
PLN 14/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158695
PLN 13/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158694
PLN 12/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/158501
PLN 11/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157740
PLN 10/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157739
PLN 9/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157738
PLN 8/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157386
PLN 7/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157385
PLN 6/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157383
PLN 5/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/157016
PLN 4/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/156890
PLN 3/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/156780
PLN 2/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/156659
PLN 1/2023,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/156656
PLN 42/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154889
PLN 41/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154888
PLN 40/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154887
PLN 39/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154886
PLN 38/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154885
PLN 37/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154884
PLN 36/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154883
PLN 35/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154882
PLN 34/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154881
PLN 33/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154880
PLN 32/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154644
PLN 31/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154509
PLN 30/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154508
PLN 29/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154497
PLN 28/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154235
PLN 27/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154231
PLN 26/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154215
PLN 25/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154178
PLN 24/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154177
PLN 23/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154175
PLN 22/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154115
PLN 21/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154114
PLN 20/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154057
PLN 19/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/154056
PLN 18/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153936
PLN 17/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153935
PLN 16/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153934
PLN 15/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153889
PLN 14/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153766
PLN 13/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153191
PLN 12/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153189
PLN 11/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153156
PLN 10/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153122
PLN 9/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153121
PLN 8/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153120
PLN 7/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/153119
PLN 6/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/152949
PLN 5/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/152731
PLN 4/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/152730
PLN 3/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/152641
PLN 2/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/152236
PLN 1/2022,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151807
PLN 44/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151059
PLN 43/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151058
PLN 42/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151057
PLN 41/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151056
PLN 40/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151055
PLN 39/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151054
PLN 38/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/151053
PLN 37/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150901
PLN 36/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150791
PLN 35/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150589
PLN 34/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150588
PLN 33/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150587
PLN 32/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150586
PLN 31/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150578
PLN 30/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150577
PLN 29/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150575
PLN 28/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150574
PLN 27/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150573
PLN 26/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150452
PLN 25/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150421
PLN 24/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150420
PLN 23/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/150220
PLN 22/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149950
PLN 21/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149949
PLN 20/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149734
PLN 19/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149661
PLN 18/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149592
PLN 17/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149591
PLN 16/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149581
PLN 15/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149580
PLN 14/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149400
PLN 13/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149171
PLN 12/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149145
PLN 11/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149083
PLN 10/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/149035
PLN 9/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148838
PLN 8/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148619
PLN 7/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148616
PLN 6/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148522
PLN 5/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148521
PLN 4/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148176
PLN 3/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/148119
PLN 2/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/147988
PLN 1/2021,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/147519
PLN 43/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145148
PLN 42/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145147
PLN 41/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145146
PLN 40/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145145
PLN 39/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145144
PLN 38/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145143
PLN 37/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145142
PLN 36/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145141
PLN 35/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145140
PLN 34/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145105
PLN 33/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145104
PLN 32/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145103
PLN 31/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145092
PLN 30/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/145007
PLN 29/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/144695
PLN 28/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/144429
PLN 27/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/144352
PLN 26/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/144351
PLN 25/2020,https://www.congressonacional.leg.br/materias/pesquisa/-/materia/144262
