#,Parlamentar,Voto,Obs,KEY,LINK
1,Alan Rick,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
2,Alessandro Vieira,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
3,Ana Paula Lobato,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
4,Angelo Coronel,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
5,Astronauta Marcos Pontes,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
6,Beto Faro,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
7,Carlos Portinho,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
8,Carlos Viana,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
9,Chico Rodrigues,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
10,Cid Gomes,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
11,Ciro Nogueira,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
12,Cleitinho,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
13,Confúcio Moura,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
14,Damares Alves,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
15,Daniella Ribeiro,-,"art. 13, caput - Atividade parlamentar",PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
16,Davi Alcolumbre,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
17,Dr. Hiran,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
18,Eduardo Braga,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
19,Eduardo Girão,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
20,Eduardo Gomes,-,Não Compareceu,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
21,Efraim Filho,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
22,Eliziane Gama,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
23,Esperidião Amin,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
24,Fabiano Contarato,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
25,Fernando Dueire,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
26,Fernando Farias,-,"art. 43, II - Licença particular",PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
27,Flávio Arns,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
28,Flávio Bolsonaro,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
29,Giordano,-,"art. 13, caput - Atividade parlamentar",PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
30,Hamilton Mourão,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
31,Humberto Costa,Sim,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
32,Irajá,Não,,PLP 233/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/163100/votacoes
