file,Unnamed: 0,SENADOR,UF,PARTIDO,VOTO
PEC 10_2020_0.pdf,81,81,81,81,81
PEC 10_2020_1.pdf,81,81,81,81,81
PEC 10_2020_2.pdf,81,81,81,81,81
PEC 10_2020_3.pdf,81,81,81,81,81
PEC 10_2020_4.pdf,81,81,81,81,81
PEC 10_2020_5.pdf,81,81,81,81,81
PEC 10_2021_0.pdf,85,85,85,85,85
PEC 10_2021_1.pdf,85,85,85,85,85
PEC 11_2022_0.pdf,81,81,81,81,81
PEC 11_2022_1.pdf,81,81,81,81,81
PEC 13_2021_0.pdf,81,81,81,81,81
PEC 13_2021_1.pdf,81,81,81,81,81
PEC 13_2021_2.pdf,81,81,81,81,81
PEC 15_2022_0.pdf,81,81,81,81,81
PEC 15_2022_1.pdf,81,81,81,81,81
PEC 162_2019_0.pdf,81,81,81,81,81
PEC 162_2019_1.pdf,81,81,81,81,81
PEC 17_2019 (fase 2)_0.pdf,81,81,81,81,81
PEC 17_2019 (fase 2)_1.pdf,81,81,81,81,81
PEC 18_2020_0.pdf,81,81,81,81,81
PEC 18_2020_1.pdf,81,81,81,81,81
PEC 18_2020_2.pdf,81,81,81,81,81
PEC 18_2020_3.pdf,81,81,81,81,81
PEC 18_2021_0.pdf,81,81,81,81,81
PEC 18_2021_1.pdf,81,81,81,81,81
PEC 1_2021_0.pdf,81,81,81,81,81
PEC 1_2021_1.pdf,81,81,81,81,81
PEC 1_2022_0.pdf,81,81,81,81,81
PEC 1_2022_1.pdf,81,81,81,81,81
PEC 23_2021_0.pdf,81,81,81,81,81
PEC 23_2021_1.pdf,81,81,81,81,81
PEC 23_2021_2.pdf,81,81,81,81,81
PEC 26_2020_0.pdf,81,81,81,81,81
PEC 26_2020_1.pdf,81,81,81,81,81
PEC 26_2022_0.pdf,81,81,81,81,81
PEC 26_2022_1.pdf,81,81,81,81,81
PEC 28_2021_0.pdf,81,81,81,81,81
PEC 28_2021_1.pdf,81,81,81,81,81
PEC 29_2020_0.pdf,81,81,81,81,81
PEC 29_2020_1.pdf,81,81,81,81,81
PEC 29_2020_2.pdf,81,81,81,81,81
PEC 32_2021_0.pdf,81,81,81,81,81
PEC 32_2021_1.pdf,81,81,81,81,81
PEC 32_2022 (fase 2)_0.pdf,80,80,80,80,80
PEC 32_2022 (fase 2)_1.pdf,80,80,80,80,80
PEC 32_2022 (fase 2)_2.pdf,80,80,80,80,80
PEC 32_2022_0.pdf,81,81,81,81,81
PEC 32_2022_1.pdf,81,81,81,81,81
PEC 32_2022_2.pdf,81,81,81,81,81
PEC 32_2022_3.pdf,81,81,81,81,81
PEC 32_2022_4.pdf,81,81,81,81,81
PEC 42_2022_0.pdf,81,81,81,81,81
PEC 42_2022_1.pdf,81,81,81,81,81
PEC 43_2022_0.pdf,81,81,81,81,81
PEC 43_2022_1.pdf,81,81,81,81,81
PEC 45_2019_0.pdf,81,81,81,81,81
PEC 45_2019_1.pdf,81,81,81,81,81
PEC 45_2019_2.pdf,81,81,81,81,81
PEC 45_2019_3.pdf,81,81,81,81,81
PEC 45_2019_4.pdf,81,81,81,81,81
PEC 45_2023_0.pdf,81,81,81,81,81
PEC 45_2023_1.pdf,81,81,81,81,81
PEC 47_2021_0.pdf,81,81,81,81,81
PEC 47_2021_1.pdf,81,81,81,81,81
PEC 4_2021_0.pdf,81,81,81,81,81
PEC 4_2021_1.pdf,81,81,81,81,81
PEC 66_2023_0.pdf,81,81,81,81,81
PEC 66_2023_1.pdf,81,81,81,81,81
PEC 72_2023_0.pdf,81,81,81,81,81
PEC 72_2023_1.pdf,81,81,81,81,81
PEC 8_2021_0.pdf,81,81,81,81,81
PEC 8_2021_1.pdf,81,81,81,81,81
PEC 8_2021_2.pdf,81,81,81,81,81
PEC 9_2022_0.pdf,81,81,81,81,81
PEC 9_2022_1.pdf,81,81,81,81,81
PL 1166_2020_0.pdf,85,85,85,85,85
PL 1166_2020_1.pdf,81,81,81,81,81
PL 1277_2020_0.pdf,81,81,81,81,81
PL 1277_2020_1.pdf,81,81,81,81,81
PL 1304_2020_0.pdf,81,81,81,81,81
PL 1304_2020_1.pdf,81,81,81,81,81
PL 1328_2020_0.pdf,81,81,81,81,81
PL 1328_2020_1.pdf,81,81,81,81,81
PL 1328_2020_2.pdf,81,81,81,81,81
PL 2108_2021_0.pdf,81,81,81,81,81
PL 2108_2021_1.pdf,80,80,80,80,80
PL 2253_2022_0.pdf,81,81,81,81,81
PL 2253_2022_1.pdf,81,81,81,81,81
PL 2505_2021_0.pdf,81,81,81,81,81
PL 2505_2021_1.pdf,81,81,81,81,81
PL 2505_2021_2.pdf,81,81,81,81,81
PL 2505_2021_3.pdf,81,81,81,81,81
PL 2505_2021_4.pdf,81,81,81,81,81
PL 2505_2021_5.pdf,81,81,81,81,81
PL 2630_2020_0.pdf,81,81,81,81,81
PL 2630_2020_1.pdf,81,81,81,81,81
PL 2630_2020_2.pdf,81,81,81,81,81
PL 2903_2023_0.pdf,81,81,81,81,81
PL 2903_2023_1.pdf,81,81,81,81,81
PL 2903_2023_2.pdf,81,81,81,81,81
PL 3267_2019_0.pdf,81,81,81,81,81
PL 3267_2019_1.pdf,81,81,81,81,81
PL 3267_2019_2.pdf,81,81,81,81,81
PL 3267_2019_3.pdf,81,81,81,81,81
PL 3267_2019_4.pdf,81,81,81,81,81
PL 3626_2023_0.pdf,81,81,81,81,81
PL 3626_2023_1.pdf,81,81,81,81,81
PL 3626_2023_2.pdf,85,85,85,85,85
PL 3626_2023_3.pdf,81,81,81,81,81
PL 3846_2021_0.pdf,81,81,81,81,81
PL 3846_2021_1.pdf,81,81,81,81,81
PL 4059_2021_0.pdf,81,81,81,81,81
PL 4059_2021_1.pdf,81,81,81,81,81
PL 5284_2020_0.pdf,81,81,81,81,81
PL 5284_2020_1.pdf,81,81,81,81,81
PL 827_2020_0.pdf,81,81,81,81,81
PL 827_2020_1.pdf,81,81,81,81,81
PLP 11_2020_0.pdf,81,81,81,81,81
PLP 11_2020_1.pdf,81,81,81,81,81
PLP 18_2022_0.pdf,81,81,81,81,81
PLP 18_2022_1.pdf,81,81,81,81,81
PLP 18_2022_2.pdf,81,81,81,81,81
PLP 18_2022_3.pdf,81,81,81,81,81
PLP 18_2022_4.pdf,81,81,81,81,81
PLP 233_2023_0.pdf,81,81,81,81,81
PLP 233_2023_1.pdf,81,81,81,81,81
PLP 233_2023_2.pdf,81,81,81,81,81
PLP 233_2023_3.pdf,81,81,81,81,81
