,SENADOR,UF,PARTIDO,VOTO,file
1,Acir Gurgacz                                                  ,RO,PDT,Sim,PEC 10_2020.pdf
2,Alessandro Vieira                                              ,SE,CIDADANIA,Não,PEC 10_2020.pdf
3,Alvaro Dias                                                    ,PR,PODEMOS,Sim,PEC 10_2020.pdf
4,Angelo Coronel                                                ,BA,PSD,Não,PEC 10_2020.pdf
5,Antonio Anastasia                                             ,MG,PSD,Não,PEC 10_2020.pdf
6,Arolde de Oliveira                                             ,RJ,PSD,Não,PEC 10_2020.pdf
7,Carlos Viana                                                  ,MG,PSD,Não,PEC 10_2020.pdf
8,Chico Rodrigues                                                ,RR,DEM,Não,PEC 10_2020.pdf
9,Cid Gomes                                                      ,CE,PDT,Impedido (art.306 RISF),PEC 10_2020.pdf
10,Ciro Nogueira                                                  ,PI,PP,Não,PEC 10_2020.pdf
11,Confúcio Moura                                                ,RO,MDB,Não,PEC 10_2020.pdf
12,Daniella Ribeiro                                               ,PB,PP,Não,PEC 10_2020.pdf
13,Dário Berger                                                   ,SC,MDB,Sim,PEC 10_2020.pdf
14,Davi Alcolumbre                                                ,AP,DEM,Presidente (art. 51 RISF),PEC 10_2020.pdf
15,Eduardo Braga                                                 ,AM,MDB,Sim,PEC 10_2020.pdf
16,Eduardo Girão                                                  ,CE,PODEMOS,Não,PEC 10_2020.pdf
17,Eduardo Gomes                                                  ,TO,MDB,Não,PEC 10_2020.pdf
18,Eliziane Gama                                                 ,MA,CIDADANIA,Sim,PEC 10_2020.pdf
19,Elmano Férrer                                                  ,PI,PODEMOS,Não,PEC 10_2020.pdf
20,Esperidião Amin                                                ,SC,PP,Não,PEC 10_2020.pdf
21,Fabiano Contarato                                              ,ES,REDE,Sim,PEC 10_2020.pdf
22,Fernando Bezerra Coelho                                        ,PE,MDB,Não,PEC 10_2020.pdf
23,Fernando Collor                                                ,AL,PROS,Não,PEC 10_2020.pdf
24,Flávio Arns                                                    ,PR,REDE,Não,PEC 10_2020.pdf
25,Flávio Bolsonaro                                               ,RJ,S/Partido,Não,PEC 10_2020.pdf
26,Humberto Costa                                                 ,PE,PT,Não,PEC 10_2020.pdf
27,Irajá                                                          ,TO,PSD,Não,PEC 10_2020.pdf
1,Izalci Lucas                                                  ,DF,PSDB,Não,PEC 10_2020.pdf
2,Jader Barbalho                                                ,PA,MDB,Sim,PEC 10_2020.pdf
3,Jaques Wagner                                                 ,BA,PT,Não,PEC 10_2020.pdf
4,Jarbas Vasconcelos                                             ,PE,MDB,Não,PEC 10_2020.pdf
